20,208
24,304
17,37
20,855
25,753
14,88
24,787
7,659
8,514
29,90
9,781
30,3
11,858
29,687
17,58
17,241
22,133
13,247
27,51
20,300
3,202
29,874
14,540
26,88
25,948
19,147
11,266
29,822
19,175
26,336
21,319
3,614
5,109
18,407
11,655
2,182
5,88
23,251
1,87
20,356
23,242
4,840
11,623
25,185
12,392
11,572
8,996
23,814
4,618
30,544
19,430
16,174
8,67
2,570
2,204
10,730
25,942
28,908
22,579
9,809
9,590
23,244
1,994
29,469
25,227
23,743
4,234
9,110
20,989
8,446
5,457
19,774
15,338
11,273
19,57
14,603
6,945
14,478
28,962
14,664
20,359
11,913
12,778
4,106
14,925
9,829
14,139
8,159
17,796
21,423
29,336
21,998
29,699
12,642
6,872
11,603
16,333
19,31
27,601
15,737
5,615
30,481
3,680
28,723
19,386
26,401
17,456
11,37
2,743
20,92
13,434
13,612
5,656
9,247
16,353
25,819
13,630
24,411
28,941
26,389
1,781
23,571
17,264
18,78
5,101
10,756
17,349
26,242
1,78
24,511
12,400
28,292
13,501
30,694
21,978
11,451
10,102
18,357
18,175
9,337
19,847
18,628
2,40
8,132
9,268
26,762
24,269
22,673
12,620
3,715
26,474
6,933
13,4
26,751
8,425
14,751
7,935
19,744
6,499
22,554
5,816
4,581
20,497
1,876
19,499
4,648
30,701
29,70
27,254
28,380
8,979
27,992
2,768
5,887
14,635
9,69
2,406
8,620
25,408
19,180
11,845
11,830
23,393
13,610
4,296
19,842
23,383
16,643
27,726
3,812
25,338
20,921
9,905
17,620
27,370
23,476
26,367
14,614
3,527
23,122
20,493
30,154
25,964
16,191
14,591
16,310
20,960
10,506
5,306
8,872
27,647
26,899
24,406
11,40
20,17
19,24
22,544
12,636
11,546
22,292
5,716
9,572
12,868
2,851
17,180
8,236
7,489
17,954
11,719
9,636
22,267
8,789
13,118
17,16
6,334
12,692
18,630
5,391
26,38
28,575
6,424
15,560
20,920
13,526
8,403
22,422
10,388
30,221
5,44
1,490
1,393
30,755
13,159
15,827
24,610
27,869
25,881
23,174
15,850
18,210
7,487
18,207
4,173
27,271
20,178
16,515
16,26
9,939
30,146
9,802
25,875
23,28
28,833
1,868
19,872
20,549
15,947
21,455
17,564
17,712
21,584
17,628
24,630
28,130
16,920
26,813
17,749
12,644
30,993
1,784
18,149
14,947
3,158
18,364
13,251
14,654
19,562
9,708
2,678
12,536
25,14
30,417
27,620
10,42
7,428
6,225
18,813
20,159
18,744
11,14
7,785
21,463
21,999
2,742
21,258
5,81
17,163
12,977
30,142
22,529
6,128
12,757
18,516
25,238
11,783
17,627
6,583
19,94
26,875
24,937
6,788
4,535
19,611
2,62
3,111
1,914
7,457
16,788
28,578
28,191
15,438
3,641
30,84
10,993
13,414
15,899
17,534
1,235
23,396
30,811
23,152
1,372
7,628
15,621
2,84
7,693
21,85
23,271
9,57
26,815
12,762
15,81
10,8
26,443
15,550
30,424
17,301
17,23
18,569
12,73
11,214
4,459
21,263
1,451
22,102
14,553
29,630
24,172
19,879
4,557
20,156
18,811
13,260
5,897
16,650
1,358
17,271
14,534
6,272
20,410
29,798
26,828
15,961
6,739
30,5
24,896
8,406
19,873
11,105
1,209
16,318
5,239
28,194
23,42
26,741
24,1
11,28
26,377
11,462
15,300
22,674
25,96
22,699
27,481
21,875
24,767
9,586
17,547
25,45
26,773
9,427
5,939
12,214
29,516
17,223
17,589
10,358
26,118
26,935
18,508
7,682
14,20
13,330
2,635
13,638
28,96
2,673
3,392
20,149
14,443
17,898
25,950
2,600
10,846
15,430
20,580
2,338
11,960
23,495
29,566
21,517
5,924
29,223
18,184
21,201
15,757
4,685
22,998
13,211
13,538
11,140
11,745
17,373
20,447
26,421
16,41
5,166
7,468
30,939
16,12
15,41
22,838
25,206
24,317
25,216
20,903
26,788
8,118
1,473
12,501
8,86
6,327
30,776
10,429
27,434
7,26
11,695
23,269
13,682
3,928
2,453
15,867
12,689
11,106
24,583
26,292
13,54
18,123
25,410
6,408
17,298
2,747
16,848
27,208
25,935
15,504
1,658
15,257
7,509
23,204
30,810
1,129
25,231
30,646
26,844
18,428
15,205
